subj,title,cond,freq,val_1,ar_1,det_1,reg_1,val_3,ar_3,det_3,reg_3,acc,ERQ_reap,ERQ_supp,STAI,SDS,S2 pre EMG,S2 post EMG
1,Applying to Duke Engage in Thaliland,1,3,3,5,5,4,3,4,4,3,1,29,18,35,12,0.045635259,0.045594476
1,Asking Ana out ,1,2,3,3,6,5,2,4,6,5,0,29,18,35,12,0.045570937,0.045884157
1,Caitlin over Spring Break,2,1,3,3,6,4,3,4,5,3,1,29,18,35,12,0.046069276,0.045667588
1,Cheating on Neuroscience homework,3,2,3,2,5,4,3,3,6,0,1,29,18,35,12,0.045707422,0.045634238
1,Doing homework instead of going to Virginia basketball game,2,2,2,3,3,5,3,4,6,4,1,29,18,35,12,0.045645891,0.04563126
1,Drinking at Katherine's Party,2,2,3,5,6,5,3,4,5,4,0,29,18,35,12,0.045588118,0.045600846
1,Driving and smoking,2,2,3,4,5,4,3,5,5,3,0,29,18,35,12,0.045622673,0.045695914
1,Getting a haircut,3,2,5,3,6,4,4,3,5,3,1,29,18,35,12,0.045586188,0.045694982
1,Going to concert instead of Franklin Street,3,1,4,3,4,3,3,3,5,3,1,29,18,35,12,0.045660813,0.045664825
1,Going to the research study,2,1,3,2,3,3,3,2,4,3,0,29,18,35,12,0.04556208,0.04601404
1,Hosting a prospective freshmen,3,2,4,2,6,3,4,3,5,3,1,29,18,35,12,0.04564173,0.045771734
1,Letting Hailey sleep in my bed,2,4,2,5,6,6,2,4,6,0,0,29,18,35,12,0.045583869,0.045601307
1,Lying to Melissa,1,2,3,4,5,5,2,5,6,2,0,29,18,35,12,0.045671492,0.045657935
1,Not checking if planes came with checked bags,3,3,2,5,6,5,3,4,6,4,0,29,18,35,12,0.04559867,0.0455655
1,Not kissing Karen,2,2,3,3,5,4,4,3,5,4,0,29,18,35,12,0.045630103,0.045605375
1,Picking sorbet instead of water,1,2,3,4,6,4,3,3,5,2,1,29,18,35,12,0.045618843,0.045659734
1,Playing Eb clarinet,1,4,3,4,3,3,3,3,6,3,1,29,18,35,12,0.045647046,0.04570661
1,Procrastinate studying for Neuroscience Midterm,3,3,2,4,6,5,2,3,6,4,1,29,18,35,12,0.045783518,0.04627034
1,Rushing SLGs,3,2,3,3,4,4,3,3,5,3,1,29,18,35,12,0.045636501,0.045619993
1,Skipping physics exam,3,3,3,4,6,5,2,3,7,5,1,29,18,35,12,0.04564324,0.046822213
1,Sleeping in the tent during the day,1,4,1,4,7,7,1,4,7,7,0,29,18,35,12,0.045586905,0.045586872
1,Smoking with Zach,3,2,3,3,5,5,2,3,6,3,1,29,18,35,12,0.045545785,0.04628557
1,Staying up all night to study for neuro test,1,1,3,3,6,4,3,3,5,3,1,29,18,35,12,0.045689482,0.045674289
1,Taking Care of Hailey,1,4,2,5,6,6,2,3,6,5,0,29,18,35,12,0.045659797,0.045672002
1,Talking on the phone while driving,1,2,3,5,6,4,3,5,6,5,1,29,18,35,12,0.04560791,0.045579457
1,Telling Gus that Melissa liked him,2,2,5,3,6,5,4,2,5,4,0,29,18,35,12,0.050473995,0.046495731
1,Telling Gus to prank Shivani,1,3,2,3,6,5,2,5,6,5,1,29,18,35,12,0.04565148,0.04561518
1,Told Gus to eat an entire edible,2,3,2,3,5,5,2,4,6,3,1,29,18,35,12,0.045691231,0.045738175
1,Trying Shrooms,2,3,2,5,6,5,2,5,6,4,0,29,18,35,12,0.045566453,0.045596225
1,Wearing glasses,3,3,3,4,3,4,3,4,6,3,1,29,18,35,12,0.045627032,0.045787944
2,A haircut ,1,1,4,1,4,5,5,4,4,4,0,29,19,30,12,0.045913082,0.046867274
2,Army exam ,1,4,1,2,5,7,2,2,4,7,1,29,19,30,12,0.047041636,0.046680196
2,Bad trip decisions ,3,1,1,3,6,7,1,3,3,7,1,29,19,30,12,0.046002538,0.045801901
2,Choosing an apartment ,3,7,1,2,7,7,5,4,5,7,0,29,19,30,12,0.046830288,0.046595314
2,Dance class experience,2,2,1,5,5,7,5,3,5,3,1,29,19,30,12,0.045738044,0.046115882
2,Drinking at a party,1,5,2,6,1,7,1,5,2,7,1,29,19,30,12,0.046068458,0.046033645
2,Duke beginning days,3,6,2,3,7,6,1,6,6,6,0,29,19,30,12,0.045757418,0.04575021
2,Fight with Akshay,3,5,1,5,7,5,0,2,5,6,1,29,19,30,12,0.046050903,0.04582192
2,Fight with Daddy,1,3,1,6,6,7,1,7,5,6,0,29,19,30,12,0.045744,0.045830215
2,Fight with mom,2,2,1,5,2,7,7,4,5,7,0,29,19,30,12,0.046457067,0.046615142
2,Fight with Rajjo,2,2,2,3,2,5,3,5,5,4,1,29,19,30,12,0.046954611,0.046949091
2,Fights with Vimal,2,2,1,6,5,7,1,2,4,7,1,29,19,30,12,0.045764045,0.045757187
2,Gossiping ,3,4,7,7,6,3,2,5,3,3,1,29,19,30,12,0.046079792,0.04582192
2,Impulsive shopping in December,2,5,5,7,6,3,4,3,5,3,1,29,19,30,12,0.045906952,0.04674843
2,Injured my leg ,1,1,2,3,7,5,3,4,2,4,0,29,19,30,12,0.046008412,0.045921333
2,Love life decisions ,3,1,1,2,1,5,3,2,1,7,1,29,19,30,12,0.045766235,0.045763618
2,Love life decisions ,3,1,1,2,1,5,1,4,3,6,0,29,19,30,12,0.045712849,0.045924902
2,Low grades,1,1,3,4,2,5,3,4,5,2,0,29,19,30,12,0.046018061,0.0461758
2,Not doing part time first semester,2,7,1,1,7,7,2,5,7,7,1,29,19,30,12,0.045859218,0.045970702
2,Not joining dance class,1,7,1,2,3,7,1,5,4,7,1,29,19,30,12,0.045764044,0.046237377
2,Not keeping contacts,2,5,2,1,5,6,4,2,2,5,1,29,19,30,12,0.045958008,0.04596723
2,Not using gym ,2,7,1,1,3,7,3,5,3,6,0,29,19,30,12,0.04602831,0.046007987
2,Ordering wrong food,1,5,3,2,3,3,5,4,5,5,1,29,19,30,12,0.045864961,0.04643326
2,Partiality at dance class,1,1,1,3,5,6,1,5,7,7,0,29,19,30,12,0.046342054,0.04659941
2,Phone not working ,2,5,1,4,6,7,4,2,5,4,1,29,19,30,12,0.046557151,0.045993567
2,Roommate ,3,2,3,6,7,4,2,5,5,5,0,29,19,30,12,0.046920322,0.046734258
2,Roommate at Duke,3,7,2,5,6,7,2,5,4,4,0,29,19,30,12,0.047053076,0.04712612
2,Skydiving,1,2,1,4,7,7,0,4,4,7,1,29,19,30,12,0.047223414,0.047119989
2,Smoking at times,3,2,2,4,6,5,2,4,3,5,0,29,19,30,12,0.04597108,0.045998001
2,Undecisiveness,2,3,2,4,5,4,4,3,5,3,0,29,19,30,12,0.045891926,0.045781019
3,2/19/18,1,4,1,7,7,7,1,5,7,3,0,33,6,43,8,0.045658776,0.045984414
3,Abuelo V,3,3,2,4,5,5,1,3,7,2,0,33,6,43,8,0.045645843,0.045624161
3,Apartment Renewal,3,2,4,5,5,3,3,2,5,2,1,33,6,43,8,0.04567836,0.04576522
3,Bacterial Cultures,1,2,2,5,6,3,4,2,5,1,1,33,6,43,8,0.045598419,0.045607168
3,Bad Movie,2,1,4,4,5,3,4,1,4,1,1,33,6,43,8,0.045601303,0.045679326
3,Birthday 2017 ,3,2,3,5,6,5,2,2,7,4,0,33,6,43,8,0.045652226,0.045639734
